accession,year,parse_route,parsed_stake,hand_stake,abs_diff,stake_error,parsed_trigger,hand_trigger,trigger_error,material_error,excerpt
0001213900-24-000549,2024,cover,15.2,15.2,0.0,False,2023-12-21,2023-12-21,False,False,"cover: 'December 21, 2023 (Date of Event which Requires Filing of this Statement)'; row 13: 15.2% (1)"
0001493152-24-008747,2024,cover,7.8,7.8,0.0,False,2024-01-05,2024-01-05,False,False,"cover: 'January 5, 2024 (Date of event which requires filing of this statement)'; row 13: 7.8% (4)"
0001104659-24-130738,2024,xml,6.03,6.03,0.0,False,2024-12-13,2024-12-13,False,False,XML cover: dateOfEvent 12/13/2024; percentOfClass 6.03 for all four reporting persons
0001104659-24-131320,2024,xml,15.9,15.9,0.0,False,2024-12-17,2024-12-17,False,False,XML cover: dateOfEvent 12/17/2024; percentOfClass 9.7 / 9.7 / 0 / 0 / 15.9
0001104659-24-131447,2024,xml,9.3,9.3,0.0,False,2024-12-22,2024-12-22,False,False,"XML cover: dateOfEvent 12/22/2024; percentOfClass over 17 reporting persons, max 9.3 (Anne E. Gittinger)"
0001104659-24-132897,2024,xml,30.7,30.7,0.0,False,2024-12-29,2024-12-29,False,False,XML cover: dateOfEvent 12/29/2024; percentOfClass 30.7 for all three; Item 5 repeats 'approximately 30.7%'
0001373604-24-000114,2024,xml,8.5,8.5,0.0,False,2024-12-13,2024-12-13,False,False,XML cover: dateOfEvent 12/13/2024; percentOfClass 8.1 / 8.5; Item 4 confirms the Dec 13 2024 letter to the board
0001398344-24-023420,2024,xml,6.37,6.37,0.0,False,2024-12-18,2024-12-18,False,False,XML cover: dateOfEvent 12/18/2024; percentOfClass 6.37 for both; Item 5 repeats 'approximately 6.37%'
0002013085-24-000007,2024,xml,35.5,35.5,0.0,False,2024-10-31,2024-10-31,False,False,XML cover: dateOfEvent 10/31/2024; percentOfClass 35.5; Item 5 states 35.45%
0002021677-24-000001,2024,xml,5.0,5.0,0.0,False,2024-05-01,2024-05-01,False,False,XML cover: dateOfEvent 05/01/2024; percentOfClass 5.0
0002022936-24-000016,2024,xml,16.2,16.2,0.0,False,2024-10-15,2024-10-15,False,False,XML cover: dateOfEvent 10/15/2024; percentOfClass 16.2; Item 5 states 16.18%
0002034863-24-000003,2024,xml,73.0,73.0,0.0,False,2024-08-08,2024-08-08,False,False,XML cover: dateOfEvent 08/08/2024; percentOfClass 73.0 for both; Item 5 states 'Approximately 73%'
0000897069-25-000660,2025,xml,6.3,6.3,0.0,False,2025-03-12,2025-03-12,False,False,XML cover: dateOfEvent 03/12/2025; percentOfClass 6.3 x3 then 0 for the remaining eight of eleven persons
0000919574-25-000562,2025,xml,7.45,7.45,0.0,False,2025-01-22,2025-01-22,False,False,XML cover: dateOfEvent 01/22/2025; percentOfClass 7.45 for all four
0000947871-25-001032,2025,xml,76.02,76.02,0.0,False,2025-11-12,2025-11-12,False,False,XML cover: dateOfEvent 11/12/2025; percentOfClass 76.02 for both
0000950170-25-005474,2025,xml,35.3,35.3,0.0,False,2025-01-06,2025-01-06,False,False,XML cover: dateOfEvent 01/06/2025; percentOfClass 35.30 for both; Item 5 repeats 'approximately 35.30%'
0001079973-25-000383,2025,xml,37.6,37.6,0.0,False,2025-03-06,2025-03-06,False,False,XML cover: dateOfEvent 03/06/2025; percentOfClass 37.6 for both
0001104659-25-014424,2025,xml,20.2,20.2,0.0,False,2024-10-23,2024-10-23,False,False,XML cover: dateOfEvent 10/23/2024; percentOfClass 19.9 / 20.2
0001104659-25-021530,2025,xml,48.2,48.2,0.0,False,2025-03-01,2025-03-01,False,False,XML cover: dateOfEvent 03/01/2025; percentOfClass 46.3 / 48.2; Item 4 confirms the Mar 1 2025 proposal
0001104659-25-052758,2025,xml,20.7,20.7,0.0,False,2025-05-19,2025-05-19,False,False,XML cover: dateOfEvent 05/19/2025; percentOfClass 20.7 for both
0001104659-25-089649,2025,xml,8.9,8.9,0.0,False,2017-09-07,2017-09-07,False,False,XML cover: dateOfEvent 09/07/2017; percentOfClass 8.9; Item 4 confirms the Sep 7 2017 board seat
0001140361-25-032112,2025,xml,20.4,20.4,0.0,False,2025-08-13,2025-08-13,False,False,XML cover: dateOfEvent 08/13/2025; percentOfClass 20.4 for all six
